Year,Month,State,Primary Mode,Etiology,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Confirmed,Other healthcare facility,6,0.0,6.0,0.0,6
2020,1,Nebraska,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,20,1.0,20.0,0.0,20
2020,1,New York,Food,Clostridium perfringens,Suspected,Caterer (food prepared off-site from where served),7,0.0,7.0,0.0,7
2020,1,New Mexico,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,18,0.0,18.0,0.0,18
2020,1,Minnesota,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,95,1.0,95.0,2.0,95
2020,1,Minnesota,Person-to-person,Norovirus unknown; Clostridium difficile,Suspected; Suspected,Long-term care/nursing home/assisted living facility,34,4.0,34.0,1.0,34
2020,1,Massachusetts,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,39,0.0,39.0,0.0,39
2020,1,Massachusetts,Food,Norovirus,Suspected,Restaurant - Sit-down dining,9,0.0,9.0,0.0,9
2020,1,South Carolina,Person-to-person,Sapovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,21,0.0,21.0,0.0,21
2020,1,Virginia,Person-to-person,Sapovirus,Confirmed,Long-term care/nursing home/assisted living facility,6,0.0,6.0,0.0,6
2020,1,Virginia,Person-to-person,Norovirus,Suspected,Hospital,9,0.0,9.0,0.0,9
2020,1,Minnesota,Person-to-person,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,19,1.0,15.0,0.0,19
2020,1,Wyoming,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,94,1.0,94.0,2.0,94
2020,1,North Carolina,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,32,1.0,32.0,1.0,32
2020,1,Virginia,Indeterminate/Other/Unknown,Norovirus Genogroup II; Norovirus Genogroup II,Confirmed; Suspected,Long-term care/nursing home/assisted living facility,11,0.0,11.0,0.0,11
2020,1,Alabama,Person-to-person,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,13,0.0,13.0,0.0,13
2020,1,Virginia,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,16,0.0,16.0,0.0,16
2020,1,Virginia,Food,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,3,0.0,0.0,0.0,0
2020,1,Minnesota,Person-to-person,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,39,3.0,39.0,0.0,39
2020,1,Minnesota,Person-to-person,Norovirus Genogroup II,Confirmed,Child day care,14,0.0,14.0,0.0,14
2020,1,Ohio,Person-to-person,Norovirus Genogroup II; Norovirus Genogroup II,Confirmed; Confirmed,Long-term care/nursing home/assisted living facility,14,2.0,14.0,0.0,14
2020,1,Michigan,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,8,2.0,8.0,0.0,8
2020,1,Michigan,Person-to-person,Norovirus Genogroup I,Confirmed,Long-term care/nursing home/assisted living facility,33,0.0,33.0,0.0,33
2020,1,Virginia,Indeterminate/Other/Unknown,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,15,0.0,15.0,0.0,15
2020,1,Minnesota,Food,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,8,0.0,8.0,0.0,8
2020,1,Ohio,Person-to-person,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,24,0.0,24.0,0.0,24
2020,1,Iowa,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,37,0.0,37.0,0.0,37
2020,1,Iowa,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,52,0.0,52.0,0.0,52
2020,1,Iowa,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,55,0.0,4.0,0.0,4
2020,1,Wisconsin,Food,Norovirus Genogroup I,Confirmed,Restaurant - Sit-down dining,10,0.0,10.0,0.0,10
2020,1,Wisconsin,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,49,0.0,49.0,0.0,49
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,5,0.0,4.0,0.0,4
2020,1,Wisconsin,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,24,0.0,24.0,0.0,24
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II; Norovirus unknown,Confirmed; Suspected,School/college/university,58,0.0,58.0,0.0,58
2020,1,Wisconsin,Person-to-person,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,5,0.0,5.0,0.0,5
2020,1,Nebraska,Person-to-person,Norovirus Genogroup II,Confirmed,Child day care,48,0.0,48.0,0.0,48
2020,1,Nebraska,Person-to-person,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,56,3.0,56.0,0.0,56
