Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,Animal Type Specify,Water Status
2020,1,Mississippi,Person-to-person,,,,Long-term care/nursing home/assisted living facility,18,0,18,0,18,,,,,,,,
2020,1,Wisconsin,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Other healthcare facility,6,0,6,0,6,,,,,,,,
2020,1,Nebraska,Person-to-person,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Long-term care/nursing home/assisted living facility,20,1,20,0,20,,,,,,,,
2020,1,New York,Food,Clostridium perfringens,,Suspected,Caterer (food prepared off-site from where served),7,0,7,0,7,curry chicken; pelau dish; curry chick peas w/ potatoes,chicken; peas; meat; chick peas; potatoes,Multiple,,,,,
2020,1,New Mexico,Person-to-person,Norovirus Genogroup II,unknown,Confirmed,Long-term care/nursing home/assisted living facility,18,0,18,0,18,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,95,1,95,2,95,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown; Clostridium difficile,,Suspected; Suspected,Long-term care/nursing home/assisted living facility,34,4,34,1,34,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,4,,0,,0,,,,,,,,
2020,1,Massachusetts,Person-to-person,Norovirus,,Suspected,Long-term care/nursing home/assisted living facility,39,0,39,0,39,,,,,,,,
2020,1,Massachusetts,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,9,0,9,0,9,,,,,,,,
2020,1,South Carolina,Person-to-person,Sapovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,21,0,21,0,21,,,,,,,,
2020,1,Virginia,Person-to-person,Sapovirus,,Confirmed,Long-term care/nursing home/assisted living facility,6,0,6,0,6,,,,,,,,
2020,1,Virginia,Person-to-person,Norovirus,,Suspected,Hospital,9,0,9,0,9,,,,,,,,
2020,1,Minnesota,Person-to-person,Norovirus unknown,,Confirmed,Long-term care/nursing home/assisted living facility,19,1,15,0,19,,,,,,,,
2020,1,Wyoming,Person-to-person,Norovirus Genogroup II,GII.P untypeable - GII.6,Confirmed,Long-term care/nursing home/assisted living facility,94,1,94,2,94,,,,,,,,
2020,1,North Carolina,Person-to-person,Norovirus unknown,,Suspected,Long-term care/nursing home/assisted living facility,32,1,32,1,32,,,,,,,,
